ArtifactID,ArtifactType,ResearcherName,CreatedDate,ContentSnippet
GAB-UR-9001,Research Notes,Sara,2026-01-20,Multiple users re-read tone selection before proceeding.
GAB-UR-9002,Research Notes,Daniel,2026-02-16,Users smiled when preview loaded successfully.
GAB-UR-9003,Survey Response,Sara,2026-02-12,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9004,Interview Transcript,Rohit,2026-02-12,Several users thought the cover selection was part of checkout.
GAB-UR-9005,Research Notes,Meera,2026-03-23,Multiple users re-read tone selection before proceeding.
GAB-UR-9006,Interview Transcript,Aisha,2026-01-14,One participant said the emotional tone made the gift feel very special.
GAB-UR-9007,Research Notes,Meera,2026-01-16,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9008,Interview Transcript,Sara,2026-01-10,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9009,Research Notes,Sara,2026-02-05,Multiple users re-read tone selection before proceeding.
GAB-UR-9010,Survey Response,Sara,2026-02-27,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9011,Survey Response,Rohit,2026-02-12,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9012,Interview Transcript,Daniel,2026-03-04,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9013,Survey Response,Sara,2026-03-26,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9014,Interview Transcript,Aisha,2026-01-25,Several users thought the cover selection was part of checkout.
GAB-UR-9015,Survey Response,Rohit,2026-01-02,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9016,Interview Transcript,Aisha,2026-01-09,User expected to see the photo reflected more clearly in the character.
GAB-UR-9017,Interview Transcript,Daniel,2026-02-21,Several users thought the cover selection was part of checkout.
GAB-UR-9018,Research Notes,Aisha,2026-03-16,Users smiled when preview loaded successfully.
GAB-UR-9019,Survey Response,Daniel,2026-02-09,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9020,Survey Response,Sara,2026-03-16,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9021,Survey Response,Meera,2026-03-09,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9022,Research Notes,Rohit,2026-03-06,Observed hesitation during personality question step.
GAB-UR-9023,Survey Response,Daniel,2026-02-26,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9024,Survey Response,Daniel,2026-01-25,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9025,Interview Transcript,Aisha,2026-03-28,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9026,Survey Response,Meera,2026-01-23,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9027,Survey Response,Meera,2026-01-20,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9028,Survey Response,Aisha,2026-02-01,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9029,Interview Transcript,Aisha,2026-02-19,User expected to see the photo reflected more clearly in the character.
GAB-UR-9030,Survey Response,Aisha,2026-01-01,Rating: 4/5 – Cover looked amazing.
GAB-UR-9031,Survey Response,Aisha,2026-02-10,Rating: 4/5 – Cover looked amazing.
GAB-UR-9032,Research Notes,Aisha,2026-03-26,Multiple users re-read tone selection before proceeding.
GAB-UR-9033,Survey Response,Sara,2026-01-06,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9034,Survey Response,Sara,2026-03-03,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9035,Survey Response,Daniel,2026-01-20,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9036,Interview Transcript,Meera,2026-03-13,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9037,Interview Transcript,Rohit,2026-02-28,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9038,Interview Transcript,Aisha,2026-01-27,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9039,Research Notes,Rohit,2026-02-04,Users smiled when preview loaded successfully.
GAB-UR-9040,Research Notes,Rohit,2026-03-19,Participants often asked if they could edit the story later.
GAB-UR-9041,Interview Transcript,Sara,2026-03-17,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9042,Interview Transcript,Rohit,2026-03-08,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9043,Survey Response,Aisha,2026-03-11,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9044,Research Notes,Daniel,2026-03-10,Participants often asked if they could edit the story later.
GAB-UR-9045,Interview Transcript,Aisha,2026-01-08,One participant said the emotional tone made the gift feel very special.
GAB-UR-9046,Research Notes,Sara,2026-02-06,Observed hesitation during personality question step.
GAB-UR-9047,Interview Transcript,Meera,2026-01-02,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9048,Research Notes,Rohit,2026-03-10,Multiple users re-read tone selection before proceeding.
GAB-UR-9049,Survey Response,Rohit,2026-02-18,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9050,Research Notes,Aisha,2026-01-15,Participants often asked if they could edit the story later.
GAB-UR-9051,Interview Transcript,Rohit,2026-01-30,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9052,Research Notes,Rohit,2026-03-07,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9053,Interview Transcript,Sara,2026-03-15,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9054,Survey Response,Sara,2026-03-04,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9055,Survey Response,Daniel,2026-01-26,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9056,Research Notes,Meera,2026-02-08,Users smiled when preview loaded successfully.
GAB-UR-9057,Interview Transcript,Rohit,2026-01-21,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9058,Survey Response,Rohit,2026-02-09,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9059,Survey Response,Meera,2026-03-25,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9060,Interview Transcript,Sara,2026-02-05,Several users thought the cover selection was part of checkout.
GAB-UR-9061,Interview Transcript,Rohit,2026-01-23,One participant said the emotional tone made the gift feel very special.
GAB-UR-9062,Survey Response,Aisha,2026-03-18,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9063,Survey Response,Daniel,2026-02-14,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9064,Interview Transcript,Meera,2026-02-06,One participant said the emotional tone made the gift feel very special.
GAB-UR-9065,Survey Response,Aisha,2026-03-25,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9066,Survey Response,Sara,2026-03-26,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9067,Research Notes,Rohit,2026-03-16,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9068,Interview Transcript,Meera,2026-03-12,Several users thought the cover selection was part of checkout.
GAB-UR-9069,Research Notes,Aisha,2026-01-28,Users smiled when preview loaded successfully.
GAB-UR-9070,Survey Response,Rohit,2026-01-23,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9071,Interview Transcript,Daniel,2026-01-13,User expected to see the photo reflected more clearly in the character.
GAB-UR-9072,Survey Response,Meera,2026-03-06,Rating: 4/5 – Cover looked amazing.
GAB-UR-9073,Research Notes,Rohit,2026-01-05,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9074,Survey Response,Aisha,2026-03-18,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9075,Survey Response,Daniel,2026-03-21,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9076,Research Notes,Aisha,2026-02-02,Users smiled when preview loaded successfully.
GAB-UR-9077,Survey Response,Sara,2026-02-16,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9078,Research Notes,Aisha,2026-03-30,Multiple users re-read tone selection before proceeding.
GAB-UR-9079,Survey Response,Aisha,2026-01-22,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9080,Research Notes,Sara,2026-03-25,Multiple users re-read tone selection before proceeding.
GAB-UR-9081,Research Notes,Daniel,2026-02-05,Users smiled when preview loaded successfully.
GAB-UR-9082,Interview Transcript,Daniel,2026-02-09,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9083,Survey Response,Daniel,2026-01-13,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9084,Research Notes,Sara,2026-01-02,Observed hesitation during personality question step.
GAB-UR-9085,Survey Response,Sara,2026-01-21,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9086,Research Notes,Daniel,2026-01-26,Observed hesitation during personality question step.
GAB-UR-9087,Research Notes,Aisha,2026-02-17,Users smiled when preview loaded successfully.
GAB-UR-9088,Interview Transcript,Sara,2026-02-13,One participant said the emotional tone made the gift feel very special.
GAB-UR-9089,Research Notes,Sara,2026-03-30,Observed hesitation during personality question step.
GAB-UR-9090,Research Notes,Aisha,2026-02-25,Participants often asked if they could edit the story later.
GAB-UR-9091,Interview Transcript,Meera,2026-01-29,User expected to see the photo reflected more clearly in the character.
GAB-UR-9092,Survey Response,Rohit,2026-01-21,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9093,Interview Transcript,Meera,2026-03-04,Several users thought the cover selection was part of checkout.
GAB-UR-9094,Interview Transcript,Daniel,2026-02-18,User expected to see the photo reflected more clearly in the character.
GAB-UR-9095,Interview Transcript,Daniel,2026-02-13,One participant said the emotional tone made the gift feel very special.
GAB-UR-9096,Survey Response,Meera,2026-03-14,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9097,Survey Response,Rohit,2026-02-11,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9098,Survey Response,Sara,2026-01-13,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9099,Survey Response,Meera,2026-01-29,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9100,Interview Transcript,Daniel,2026-03-07,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9101,Survey Response,Rohit,2026-03-14,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9102,Interview Transcript,Aisha,2026-03-27,User expected to see the photo reflected more clearly in the character.
GAB-UR-9103,Survey Response,Aisha,2026-03-10,Rating: 4/5 – Cover looked amazing.
GAB-UR-9104,Interview Transcript,Daniel,2026-03-31,One participant said the emotional tone made the gift feel very special.
GAB-UR-9105,Research Notes,Aisha,2026-01-08,Multiple users re-read tone selection before proceeding.
GAB-UR-9106,Survey Response,Rohit,2026-01-31,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9107,Interview Transcript,Rohit,2026-02-02,User expected to see the photo reflected more clearly in the character.
GAB-UR-9108,Survey Response,Aisha,2026-02-09,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9109,Interview Transcript,Aisha,2026-03-18,Several users thought the cover selection was part of checkout.
GAB-UR-9110,Survey Response,Meera,2026-02-27,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9111,Interview Transcript,Meera,2026-01-14,One participant said the emotional tone made the gift feel very special.
GAB-UR-9112,Interview Transcript,Meera,2026-02-19,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9113,Interview Transcript,Rohit,2026-03-29,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9114,Survey Response,Sara,2026-01-15,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9115,Survey Response,Aisha,2026-01-05,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9116,Interview Transcript,Daniel,2026-02-11,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9117,Interview Transcript,Aisha,2026-02-13,One participant said the emotional tone made the gift feel very special.
GAB-UR-9118,Research Notes,Aisha,2026-03-03,Observed hesitation during personality question step.
GAB-UR-9119,Survey Response,Rohit,2026-03-25,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9120,Survey Response,Daniel,2026-03-31,Rating: 4/5 – Cover looked amazing.
GAB-UR-9121,Survey Response,Sara,2026-02-12,Rating: 4/5 – Cover looked amazing.
GAB-UR-9122,Research Notes,Meera,2026-01-31,Participants often asked if they could edit the story later.
GAB-UR-9123,Research Notes,Rohit,2026-03-04,Users smiled when preview loaded successfully.
GAB-UR-9124,Interview Transcript,Rohit,2026-01-08,Several users thought the cover selection was part of checkout.
GAB-UR-9125,Survey Response,Meera,2026-03-31,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9126,Survey Response,Meera,2026-03-11,Rating: 4/5 – Cover looked amazing.
GAB-UR-9127,Survey Response,Daniel,2026-01-06,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9128,Survey Response,Daniel,2026-02-11,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9129,Interview Transcript,Meera,2026-03-01,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9130,Research Notes,Meera,2026-01-14,Participants often asked if they could edit the story later.
GAB-UR-9131,Interview Transcript,Meera,2026-02-22,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9132,Interview Transcript,Daniel,2026-03-23,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9133,Survey Response,Sara,2026-03-27,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9134,Research Notes,Rohit,2026-03-19,Participants often asked if they could edit the story later.
GAB-UR-9135,Survey Response,Sara,2026-02-11,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9136,Survey Response,Rohit,2026-02-07,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9137,Research Notes,Meera,2026-02-19,Participants often asked if they could edit the story later.
GAB-UR-9138,Interview Transcript,Daniel,2026-01-31,Several users thought the cover selection was part of checkout.
GAB-UR-9139,Research Notes,Aisha,2026-02-07,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9140,Research Notes,Meera,2026-03-30,Participants often asked if they could edit the story later.
GAB-UR-9141,Research Notes,Rohit,2026-03-14,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9142,Interview Transcript,Sara,2026-03-07,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9143,Survey Response,Aisha,2026-02-23,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9144,Interview Transcript,Sara,2026-03-02,User expected to see the photo reflected more clearly in the character.
GAB-UR-9145,Research Notes,Meera,2026-01-17,Multiple users re-read tone selection before proceeding.
GAB-UR-9146,Survey Response,Meera,2026-03-22,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9147,Interview Transcript,Daniel,2026-02-09,Several users thought the cover selection was part of checkout.
GAB-UR-9148,Interview Transcript,Sara,2026-01-06,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9149,Research Notes,Meera,2026-01-30,Participants often asked if they could edit the story later.
GAB-UR-9150,Research Notes,Sara,2026-01-30,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9151,Survey Response,Rohit,2026-03-24,Rating: 4/5 – Cover looked amazing.
GAB-UR-9152,Research Notes,Daniel,2026-03-06,Multiple users re-read tone selection before proceeding.
GAB-UR-9153,Survey Response,Daniel,2026-01-14,Rating: 4/5 – Cover looked amazing.
GAB-UR-9154,Research Notes,Meera,2026-03-05,Participants often asked if they could edit the story later.
GAB-UR-9155,Survey Response,Daniel,2026-02-12,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9156,Interview Transcript,Sara,2026-02-17,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9157,Research Notes,Meera,2026-03-23,Participants often asked if they could edit the story later.
GAB-UR-9158,Survey Response,Sara,2026-03-28,Rating: 4/5 – Cover looked amazing.
GAB-UR-9159,Research Notes,Daniel,2026-03-05,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9160,Research Notes,Sara,2026-03-02,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9161,Research Notes,Sara,2026-02-14,Participants often asked if they could edit the story later.
GAB-UR-9162,Research Notes,Rohit,2026-02-12,Multiple users re-read tone selection before proceeding.
GAB-UR-9163,Research Notes,Meera,2026-02-04,Observed hesitation during personality question step.
GAB-UR-9164,Survey Response,Meera,2026-02-26,Rating: 4/5 – Cover looked amazing.
GAB-UR-9165,Survey Response,Aisha,2026-03-16,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9166,Survey Response,Aisha,2026-03-26,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9167,Survey Response,Meera,2026-02-12,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9168,Survey Response,Daniel,2026-03-01,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9169,Interview Transcript,Meera,2026-03-19,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9170,Survey Response,Rohit,2026-01-21,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9171,Survey Response,Aisha,2026-01-17,Rating: 4/5 – Cover looked amazing.
GAB-UR-9172,Research Notes,Meera,2026-01-04,Observed hesitation during personality question step.
GAB-UR-9173,Survey Response,Meera,2026-03-16,Rating: 4/5 – Cover looked amazing.
GAB-UR-9174,Survey Response,Daniel,2026-01-14,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9175,Research Notes,Meera,2026-01-09,Multiple users re-read tone selection before proceeding.
GAB-UR-9176,Survey Response,Aisha,2026-01-14,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9177,Research Notes,Aisha,2026-03-30,Participants often asked if they could edit the story later.
GAB-UR-9178,Interview Transcript,Daniel,2026-02-13,One participant said the emotional tone made the gift feel very special.
GAB-UR-9179,Survey Response,Aisha,2026-03-31,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9180,Research Notes,Meera,2026-01-23,Multiple users re-read tone selection before proceeding.
GAB-UR-9181,Interview Transcript,Aisha,2026-02-05,Several users thought the cover selection was part of checkout.
GAB-UR-9182,Interview Transcript,Aisha,2026-02-06,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9183,Interview Transcript,Meera,2026-01-24,Several users thought the cover selection was part of checkout.
GAB-UR-9184,Survey Response,Daniel,2026-02-02,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9185,Interview Transcript,Rohit,2026-02-04,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9186,Interview Transcript,Rohit,2026-03-27,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9187,Research Notes,Meera,2026-01-21,Participants often asked if they could edit the story later.
GAB-UR-9188,Interview Transcript,Sara,2026-01-02,Several users thought the cover selection was part of checkout.
GAB-UR-9189,Survey Response,Rohit,2026-01-27,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9190,Interview Transcript,Aisha,2026-03-24,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9191,Research Notes,Daniel,2026-01-03,Observed hesitation during personality question step.
GAB-UR-9192,Research Notes,Meera,2026-01-05,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9193,Survey Response,Sara,2026-02-25,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9194,Research Notes,Daniel,2026-03-31,Participants often asked if they could edit the story later.
GAB-UR-9195,Survey Response,Rohit,2026-03-10,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9196,Research Notes,Meera,2026-03-30,Multiple users re-read tone selection before proceeding.
GAB-UR-9197,Interview Transcript,Rohit,2026-02-06,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9198,Survey Response,Daniel,2026-03-21,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9199,Interview Transcript,Meera,2026-02-16,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9200,Interview Transcript,Sara,2026-01-18,Parent mentioned confusion about difference between recipient name and main character name.
